x,y,z
0.2,0.6,0.3
0.203329,0.588955,0.295665
0.206849,0.578443,0.29155
0.210555,0.568456,0.287651
0.214441,0.558989,0.283967
0.218502,0.550035,0.280498
0.222735,0.541588,0.277241
0.227135,0.533642,0.274195
0.231697,0.52619,0.271358
0.236418,0.519227,0.26873
0.241295,0.512745,0.266308
0.246322,0.50674,0.264092
0.251498,0.501204,0.262081
0.256819,0.496132,0.260273
0.262282,0.491518,0.258668
0.267884,0.487355,0.257264
0.273623,0.483638,0.25606
0.279497,0.48036,0.255055
0.285502,0.477517,0.254249
0.291638,0.475101,0.253641
0.297903,0.473107,0.253229
0.304295,0.471529,0.253014
0.310812,0.470361,0.252995
0.317454,0.469598,0.253171
0.32422,0.469234,0.253541
0.331109,0.469262,0.254104
0.338119,0.469678,0.254862
0.345252,0.470476,0.255812
0.352507,0.47165,0.256956
0.359884,0.473194,0.258292
0.367382,0.475103,0.25982
0.375004,0.477371,0.26154
0.382749,0.479993,0.263452
0.390617,0.482963,0.265556
0.398611,0.486276,0.267851
0.406732,0.489926,0.270339
0.41498,0.493909,0.273018
0.423358,0.498218,0.27589
0.431867,0.502848,0.278953
0.440509,0.507795,0.28221
0.449288,0.513052,0.285659
0.458204,0.518614,0.289301
0.467262,0.524477,0.293136
0.476462,0.530635,0.297166
0.48581,0.537083,0.30139
0.495308,0.543815,0.305809
0.504959,0.550828,0.310424
0.514767,0.558114,0.315234
0.524736,0.565671,0.320242
0.53487,0.573492,0.325448
0.545173,0.581572,0.330852
0.55565,0.589908,0.336455
0.566305,0.598493,0.342259
0.577144,0.607323,0.348264
0.58817,0.616392,0.354472
0.59939,0.625697,0.360883
0.610809,0.635233,0.367498
0.622433,0.644993,0.374319
0.634267,0.654975,0.381347
0.646318,0.665173,0.388583
0.658591,0.675583,0.396029
0.671094,0.686199,0.403685
0.683832,0.697018,0.411554
0.696813,0.708034,0.419637
0.710044,0.719243,0.427936
0.723532,0.73064,0.436451
0.737284,0.742222,0.445185
0.751308,0.753983,0.45414
0.765613,0.76592,0.463316
0.780205,0.778027,0.472717
0.795093,0.790301,0.482343
0.810287,0.802736,0.492197
0.825793,0.81533,0.502281
0.841622,0.828076,0.512597
0.857782,0.840972,0.523146
0.874283,0.854013,0.533932
0.891133,0.867194,0.544955
0.908343,0.880512,0.556219
0.925923,0.893963,0.567725
0.943882,0.907541,0.579476
0.96223,0.921244,0.591475
0.980979,0.935067,0.603723
1.00014,0.949007,0.616224
1.01972,0.963058,0.628979
1.03973,0.977218,0.641992
1.06019,0.991482,0.655265
1.08111,1.00585,0.668801
1.10249,1.02031,0.682602
1.12435,1.03486,0.696671
1.1467,1.0495,0.711012
1.16955,1.06423,0.725627
1.19292,1.07904,0.740519
1.21682,1.09393,0.75569
1.24126,1.10889,0.771145
1.26625,1.12392,0.786887
1.29181,1.13901,0.802917
1.31795,1.15418,0.819241
1.34469,1.1694,0.83586
1.37203,1.18467,0.852779
1.4,1.2,0.87
