x,y,z
0,0,0
0.00278063,0.00736748,0.00186326
0.0111565,0.0289948,0.0075888
0.0252272,0.063486,0.0175754
0.045152,0.108613,0.0324597
0.0711387,0.161466,0.0530733
0.103429,0.218656,0.0803841
0.142281,0.276586,0.11542
0.187942,0.331777,0.159175
0.240625,0.38125,0.2125
0.300476,0.422973,0.275976
0.367535,0.456363,0.349769
0.441701,0.482853,0.433471
0.522683,0.50651,0.525918
0.609954,0.534717,0.625001
0.702696,0.578918,0.727452
0.799746,0.655414,0.828612
0.899529,0.786222,0.92219
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
