x,y,z
0.2,0.6,0.3
0.200008,0.599972,0.299989
0.200063,0.599779,0.299913
0.200214,0.599253,0.299707
0.200509,0.598233,0.299306
0.200998,0.59656,0.298649
0.201734,0.594083,0.297677
0.202776,0.590667,0.296336
0.204188,0.586191,0.294581
0.206045,0.580564,0.292377
0.208429,0.573723,0.289702
0.211441,0.565649,0.286549
0.215195,0.556368,0.282935
0.219826,0.545968,0.278898
0.225487,0.534601,0.274507
0.232357,0.522498,0.269863
0.240637,0.509975,0.265103
0.250553,0.497444,0.26041
0.262352,0.485418,0.256007
0.276304,0.474521,0.252173
0.292693,0.465487,0.249238
0.31181,0.459171,0.247589
0.333945,0.45654,0.247675
0.359374,0.458677,0.250007
0.38834,0.466764,0.255157
0.420857,0.481983,0.26371
0.453153,0.502742,0.274818
0.483406,0.526817,0.287425
0.511417,0.552848,0.300924
0.537089,0.57975,0.314819
0.560402,0.606664,0.328706
0.581395,0.632923,0.342267
0.600147,0.658021,0.355251
0.616765,0.681586,0.36747
0.631374,0.703358,0.378789
0.644111,0.72317,0.389114
0.655116,0.740929,0.398393
0.664529,0.756609,0.406605
0.67249,0.77023,0.413754
0.679134,0.78186,0.419869
0.684592,0.791596,0.424996
0.688991,0.799565,0.429199
0.692453,0.805914,0.432551
0.695095,0.810806,0.435136
0.697032,0.81442,0.437047
0.698376,0.81694,0.43838
0.699236,0.818559,0.439237
0.699722,0.819475,0.439722
0.69994,0.819886,0.43994
0.699998,0.819996,0.439998
0.7,0.82,0.44
0.7,0.82,0.44
0.7,0.82,0.44
0.7,0.82,0.44
0.7,0.82,0.44
0.7,0.82,0.44
0.7,0.82,0.44
0.7,0.82,0.44
0.7,0.82,0.44
0.7,0.82,0.44
0.7,0.82,0.44
0.7,0.82,0.44
0.7,0.82,0.44
0.7,0.82,0.44
0.7,0.82,0.44
0.7,0.82,0.44
0.7,0.82,0.44
0.7,0.82,0.44
0.7,0.82,0.44
0.7,0.82,0.44
0.7,0.82,0.44
0.7,0.82,0.44
0.7,0.82,0.44
0.7,0.82,0.44
0.7,0.82,0.44
0.7,0.82,0.44
0.7,0.82,0.44
0.7,0.82,0.44
0.7,0.82,0.44
0.7,0.82,0.44
0.7,0.82,0.44
0.7,0.82,0.44
0.7,0.82,0.44
0.7,0.82,0.44
0.7,0.82,0.44
0.7,0.82,0.44
0.7,0.82,0.44
0.7,0.82,0.44
0.7,0.82,0.44
0.7,0.82,0.44
0.7,0.82,0.44
0.7,0.82,0.44
0.7,0.82,0.44
0.7,0.82,0.44
0.7,0.82,0.44
0.7,0.82,0.44
0.7,0.82,0.44
0.7,0.82,0.44
0.7,0.82,0.44
0.7,0.82,0.44
