x,y,z
-0.5,0.6,0.3
-0.492232,0.598183,0.297519
-0.467401,0.601208,0.290852
-0.421103,0.632457,0.282335
-0.346585,0.724079,0.275857
-0.235626,0.906748,0.276865
-0.0797668,1.19534,0.292361
0.1281,1.5705,0.330903
0.391796,1.95614,0.402606
0.70957,2.1928,0.519141
1.07145,2.00697,0.693733
1.40853,1.22324,0.977396
1.49191,1.34348,1.36859
1.61076,1.43907,1.6425
1.7464,1.60423,2.07679
1.86832,1.98197,3.09755
2.17456,2.37994,3.48662
2.55623,2.94542,3.44671
3.08125,3.31094,3.57344
3.8,2.9,3.6
3.8,2.9,3.6
3.8,2.9,3.6
3.8,2.9,3.6
3.8,2.9,3.6
3.8,2.9,3.6
3.8,2.9,3.6
3.8,2.9,3.6
3.8,2.9,3.6
3.8,2.9,3.6
3.8,2.9,3.6
3.8,2.9,3.6
3.8,2.9,3.6
3.8,2.9,3.6
3.8,2.9,3.6
3.8,2.9,3.6
3.8,2.9,3.6
3.8,2.9,3.6
3.8,2.9,3.6
3.8,2.9,3.6
3.8,2.9,3.6
3.8,2.9,3.6
3.8,2.9,3.6
3.8,2.9,3.6
3.8,2.9,3.6
3.8,2.9,3.6
3.8,2.9,3.6
3.8,2.9,3.6
3.8,2.9,3.6
3.8,2.9,3.6
3.8,2.9,3.6
3.8,2.9,3.6
3.8,2.9,3.6
3.8,2.9,3.6
3.8,2.9,3.6
3.8,2.9,3.6
3.8,2.9,3.6
3.8,2.9,3.6
3.8,2.9,3.6
3.8,2.9,3.6
3.8,2.9,3.6
3.8,2.9,3.6
3.8,2.9,3.6
3.8,2.9,3.6
3.8,2.9,3.6
3.8,2.9,3.6
3.8,2.9,3.6
3.8,2.9,3.6
3.8,2.9,3.6
3.8,2.9,3.6
3.8,2.9,3.6
3.8,2.9,3.6
3.8,2.9,3.6
3.8,2.9,3.6
3.8,2.9,3.6
3.8,2.9,3.6
3.8,2.9,3.6
3.8,2.9,3.6
3.8,2.9,3.6
3.8,2.9,3.6
3.8,2.9,3.6
3.8,2.9,3.6
3.8,2.9,3.6
3.8,2.9,3.6
3.8,2.9,3.6
3.8,2.9,3.6
3.8,2.9,3.6
3.8,2.9,3.6
3.8,2.9,3.6
3.8,2.9,3.6
3.8,2.9,3.6
3.8,2.9,3.6
3.8,2.9,3.6
3.8,2.9,3.6
3.8,2.9,3.6
3.8,2.9,3.6
3.8,2.9,3.6
3.8,2.9,3.6
3.8,2.9,3.6
3.8,2.9,3.6
3.8,2.9,3.6
