x,y,z
0.28,0.32,0.19
0.281635,0.31943,0.189811
0.283309,0.31893,0.189647
0.28502,0.3185,0.189508
0.286768,0.318139,0.189394
0.288551,0.317846,0.189304
0.29037,0.31762,0.189239
0.292224,0.317461,0.189198
0.294112,0.317368,0.189182
0.296033,0.31734,0.189189
0.297987,0.317376,0.189219
0.299973,0.317476,0.189273
0.30199,0.317638,0.18935
0.304037,0.317862,0.18945
0.306115,0.318147,0.189572
0.308222,0.318492,0.189718
0.310357,0.318896,0.189885
0.31252,0.319359,0.190074
0.314711,0.31988,0.190286
0.316928,0.320457,0.190518
0.319171,0.321091,0.190773
0.321439,0.32178,0.191048
0.323731,0.322524,0.191344
0.326047,0.323321,0.191661
0.328387,0.324172,0.191999
0.330749,0.325074,0.192357
0.333132,0.326028,0.192735
0.335537,0.327032,0.193133
0.337962,0.328086,0.193551
0.340407,0.329189,0.193988
0.342871,0.33034,0.194444
0.345353,0.331539,0.194919
0.347853,0.332784,0.195413
0.35037,0.334074,0.195926
0.352904,0.335409,0.196457
0.355453,0.336789,0.197006
0.358017,0.338212,0.197573
0.360595,0.339677,0.198158
0.363187,0.341184,0.19876
0.365791,0.342732,0.19938
0.368408,0.34432,0.200017
0.371037,0.345947,0.20067
0.373676,0.347613,0.20134
0.376326,0.349316,0.202027
0.378985,0.351056,0.20273
0.381653,0.352832,0.203449
0.384329,0.354644,0.204183
0.387013,0.35649,0.204933
0.389703,0.358369,0.205699
0.3924,0.360282,0.206479
0.395102,0.362226,0.207275
0.397808,0.364202,0.208085
0.400519,0.366208,0.208909
0.403233,0.368244,0.209748
0.40595,0.370308,0.210601
0.408669,0.372401,0.211468
0.41139,0.37452,0.212348
0.414111,0.376666,0.213242
0.416832,0.378838,0.214149
0.419552,0.381035,0.215068
0.422271,0.383255,0.216001
0.424988,0.385499,0.216946
0.427702,0.387765,0.217904
0.430413,0.390053,0.218873
0.43312,0.392361,0.219854
0.435822,0.394689,0.220847
0.438518,0.397037,0.221852
0.441209,0.399403,0.222868
0.443893,0.401786,0.223894
0.446569,0.404187,0.224932
0.449237,0.406603,0.22598
0.451896,0.409034,0.227038
0.454545,0.41148,0.228107
0.457185,0.413939,0.229185
0.459813,0.416411,0.230273
0.46243,0.418895,0.231371
0.465035,0.42139,0.232478
0.467627,0.423896,0.233594
0.470205,0.426411,0.234719
0.472769,0.428934,0.235852
0.475318,0.431466,0.236994
0.477851,0.434005,0.238144
0.480368,0.436549,0.239302
0.482868,0.4391,0.240468
0.48535,0.441655,0.241641
0.487814,0.444214,0.242822
0.490259,0.446776,0.24401
0.492684,0.449341,0.245205
0.495089,0.451907,0.246406
0.497473,0.454473,0.247614
0.499835,0.45704,0.248828
0.502174,0.459605,0.250048
0.50449,0.462169,0.251274
0.506783,0.46473,0.252505
0.509051,0.467288,0.253742
0.511294,0.469842,0.254984
0.513511,0.472391,0.256231
0.515701,0.474934,0.257483
0.517865,0.477471,0.258739
0.52,0.48,0.26
