x,y,z
0.3,3.8,0.2
0.30093,3.80029,0.200008
0.303764,3.80096,0.20012
0.308633,3.80142,0.2006
0.315742,3.80074,0.201855
0.325346,3.79773,0.204396
0.337723,3.79108,0.208779
0.353136,3.77949,0.21553
0.371784,3.76185,0.225049
0.39375,3.7375,0.2375
0.418936,3.70644,0.252687
0.446991,3.66964,0.269907
0.477229,3.62936,0.287792
0.5,3.6,0.3
0.5,3.6,0.3
0.5,3.6,0.3
0.5,3.6,0.3
0.5,3.6,0.3
0.5,3.6,0.3
0.5,3.6,0.3
0.5,3.6,0.3
0.5,3.6,0.3
0.5,3.6,0.3
0.5,3.6,0.3
0.5,3.6,0.3
0.5,3.6,0.3
0.5,3.6,0.3
0.5,3.6,0.3
0.5,3.6,0.3
0.5,3.6,0.3
0.5,3.6,0.3
0.5,3.6,0.3
0.5,3.6,0.3
0.5,3.6,0.3
0.5,3.6,0.3
0.5,3.6,0.3
0.5,3.6,0.3
0.5,3.6,0.3
0.5,3.6,0.3
0.5,3.6,0.3
0.5,3.6,0.3
0.5,3.6,0.3
0.5,3.6,0.3
0.5,3.6,0.3
0.5,3.6,0.3
0.5,3.6,0.3
0.5,3.6,0.3
0.5,3.6,0.3
0.5,3.6,0.3
0.5,3.6,0.3
0.5,3.6,0.3
0.5,3.6,0.3
0.5,3.6,0.3
0.5,3.6,0.3
0.5,3.6,0.3
0.5,3.6,0.3
0.5,3.6,0.3
0.5,3.6,0.3
0.5,3.6,0.3
0.5,3.6,0.3
0.5,3.6,0.3
0.5,3.6,0.3
0.5,3.6,0.3
0.5,3.6,0.3
0.5,3.6,0.3
0.5,3.6,0.3
0.5,3.6,0.3
0.5,3.6,0.3
0.5,3.6,0.3
0.5,3.6,0.3
0.5,3.6,0.3
0.5,3.6,0.3
0.5,3.6,0.3
0.5,3.6,0.3
0.5,3.6,0.3
0.5,3.6,0.3
0.5,3.6,0.3
0.5,3.6,0.3
0.5,3.6,0.3
0.5,3.6,0.3
0.5,3.6,0.3
0.5,3.6,0.3
0.5,3.6,0.3
0.5,3.6,0.3
0.5,3.6,0.3
0.5,3.6,0.3
0.5,3.6,0.3
0.5,3.6,0.3
0.5,3.6,0.3
0.5,3.6,0.3
0.5,3.6,0.3
0.5,3.6,0.3
0.5,3.6,0.3
0.5,3.6,0.3
0.5,3.6,0.3
0.5,3.6,0.3
0.5,3.6,0.3
0.5,3.6,0.3
0.5,3.6,0.3
0.5,3.6,0.3
