x,y,z
0.2,0.6,0.3
0.205826,0.60628,0.30375
0.211986,0.612202,0.307329
0.218468,0.617785,0.310745
0.225263,0.623045,0.314007
0.232362,0.628001,0.317122
0.239754,0.63267,0.320101
0.24743,0.637072,0.32295
0.255379,0.641222,0.325678
0.263591,0.645139,0.328295
0.272058,0.648841,0.330807
0.280768,0.652346,0.333224
0.289713,0.655671,0.335553
0.298881,0.658834,0.337804
0.308264,0.661853,0.339985
0.317851,0.664747,0.342104
0.327632,0.667532,0.34417
0.337598,0.670226,0.34619
0.347739,0.672848,0.348174
0.358044,0.675414,0.35013
0.368504,0.677944,0.352066
0.379109,0.680454,0.353991
0.389849,0.682963,0.355912
0.400714,0.685488,0.357839
0.411695,0.688047,0.35978
0.422781,0.690659,0.361743
0.433962,0.69334,0.363737
0.445229,0.696108,0.36577
0.456572,0.698982,0.367851
0.46798,0.701979,0.369987
0.479445,0.705117,0.372187
0.490955,0.708414,0.374461
0.502501,0.711888,0.376815
0.514074,0.715556,0.379259
0.525663,0.719436,0.381801
0.537259,0.723546,0.38445
0.548851,0.727904,0.387213
0.560429,0.732527,0.390099
0.571984,0.737435,0.393117
0.583507,0.742643,0.396275
0.594986,0.74817,0.399581
0.606412,0.754035,0.403044
0.617776,0.760254,0.406672
0.629066,0.766845,0.410474
0.640274,0.773827,0.414458
0.65139,0.781217,0.418633
0.662403,0.789033,0.423006
0.673304,0.797293,0.427586
0.684083,0.806014,0.432383
0.694729,0.815214,0.437403
0.28,0.32,0.19
0.28,0.32,0.19
0.28,0.32,0.19
0.28,0.32,0.19
0.28,0.32,0.19
0.28,0.32,0.19
0.28,0.32,0.19
0.28,0.32,0.19
0.28,0.32,0.19
0.28,0.32,0.19
0.28,0.32,0.19
0.28,0.32,0.19
0.28,0.32,0.19
0.28,0.32,0.19
0.28,0.32,0.19
0.28,0.32,0.19
0.28,0.32,0.19
0.28,0.32,0.19
0.28,0.32,0.19
0.28,0.32,0.19
0.28,0.32,0.19
0.28,0.32,0.19
0.28,0.32,0.19
0.28,0.32,0.19
0.28,0.32,0.19
0.28,0.32,0.19
0.28,0.32,0.19
0.28,0.32,0.19
0.28,0.32,0.19
0.28,0.32,0.19
0.28,0.32,0.19
0.28,0.32,0.19
0.28,0.32,0.19
0.28,0.32,0.19
0.28,0.32,0.19
0.28,0.32,0.19
0.28,0.32,0.19
0.28,0.32,0.19
0.28,0.32,0.19
0.28,0.32,0.19
0.28,0.32,0.19
0.28,0.32,0.19
0.28,0.32,0.19
0.28,0.32,0.19
0.28,0.32,0.19
0.28,0.32,0.19
0.28,0.32,0.19
0.28,0.32,0.19
0.28,0.32,0.19
0.28,0.32,0.19
