x,y,z
0.2,3.5,0.3
0.200311,3.50095,0.299684
0.201265,3.50403,0.298646
0.202932,3.50996,0.296631
0.205426,3.51979,0.293255
0.208907,3.53478,0.288072
0.21358,3.5561,0.280658
0.219698,3.58462,0.27073
0.227557,3.62044,0.258281
0.2375,3.6625,0.24375
0.249916,3.70808,0.228209
0.26524,3.7522,0.213582
0.283951,3.78697,0.202881
0.306664,3.80134,0.200365
0.335424,3.79252,0.207885
0.370516,3.76315,0.224366
0.410938,3.71658,0.247801
0.45496,3.659,0.274736
0.5,3.6,0.3
0.535616,3.54029,0.314789
0.564618,3.47171,0.323546
0.608222,3.39336,0.343244
0.69452,3.30431,0.396357
0.857759,3.1984,0.491133
1.08203,3.07641,0.621536
1.31197,2.95243,0.799422
1.49058,2.84718,1.03339
1.6375,2.76875,1.31875
1.75601,2.66969,1.68885
1.82902,2.50884,2.22252
1.83086,2.31536,2.98642
1.87616,1.98379,3.6321
2.10478,1.31246,3.805
2.43955,0.423567,3.67347
2.6,0,3.6
2.6,0,3.6
2.6,0,3.6
2.6,0,3.6
2.6,0,3.6
2.6,0,3.6
2.6,0,3.6
2.6,0,3.6
2.54966,0.134294,3.61715
2.4579,0.375436,3.6637
2.35602,0.64287,3.71687
2.25625,0.90625,3.7625
2.16622,1.14643,3.79312
2.08991,1.35298,3.80637
2.02867,1.52195,3.80357
1.98196,1.65388,3.78841
1.94815,1.75213,3.76589
1.92504,1.82141,3.74138
1.91045,1.86661,3.71981
1.90251,1.89189,3.70517
1.9,1.9,3.7
1.90251,1.89189,3.70517
1.91045,1.86661,3.71981
1.92504,1.82141,3.74137
1.94815,1.75213,3.76589
1.98196,1.65388,3.78841
2.02867,1.52195,3.80357
2.08991,1.35298,3.80637
2.16622,1.14643,3.79312
2.25625,0.906251,3.7625
2.35601,0.642871,3.71687
2.4579,0.375437,3.6637
2.54966,0.134294,3.61715
2.6,0,3.6
2.6,0,3.6
2.6,0,3.6
2.6,0,3.6
2.6,0,3.6
2.6,0,3.6
2.6,0,3.6
2.6,0,3.6
2.6,0,3.6
2.6,0,3.6
2.6,0,3.6
2.6,0,3.6
2.6,0,3.6
2.6,0,3.6
2.6,0,3.6
2.6,0,3.6
2.6,0,3.6
2.6,0,3.6
2.6,0,3.6
2.6,0,3.6
2.6,0,3.6
2.6,0,3.6
2.6,0,3.6
2.6,0,3.6
2.6,0,3.6
2.6,0,3.6
2.6,0,3.6
2.6,0,3.6
2.6,0,3.6
2.6,0,3.6
2.6,0,3.6
2.6,0,3.6
2.6,0,3.6
