x,y,z
0.2,0.6,0.3
0.202871,0.603186,0.301897
0.205826,0.60628,0.30375
0.208865,0.609285,0.30556
0.211986,0.612202,0.307329
0.215187,0.615035,0.309057
0.218468,0.617785,0.310745
0.221827,0.620454,0.312395
0.225263,0.623045,0.314007
0.228775,0.62556,0.315582
0.232362,0.628001,0.317122
0.236022,0.63037,0.318628
0.239754,0.63267,0.320101
0.243557,0.634903,0.321541
0.24743,0.637072,0.32295
0.25137,0.639177,0.324329
0.255379,0.641222,0.325678
0.259453,0.643208,0.327
0.263591,0.645139,0.328295
0.267793,0.647016,0.329563
0.272058,0.648841,0.330807
0.276383,0.650617,0.332027
0.280768,0.652346,0.333224
0.285212,0.65403,0.334399
0.289713,0.655671,0.335553
0.294269,0.657272,0.336688
0.298881,0.658834,0.337804
0.303546,0.660361,0.338903
0.308264,0.661853,0.339985
0.313032,0.663315,0.341052
0.317851,0.664747,0.342104
0.322718,0.666152,0.343143
0.327632,0.667532,0.34417
0.332593,0.668889,0.345185
0.337598,0.670226,0.34619
0.342647,0.671545,0.347186
0.347739,0.672848,0.348174
0.352871,0.674137,0.349155
0.358044,0.675414,0.35013
0.363255,0.676683,0.3511
0.368504,0.677944,0.352066
0.373789,0.6792,0.353029
0.379109,0.680454,0.353991
0.384463,0.681708,0.354951
0.389849,0.682963,0.355912
0.395267,0.684222,0.356875
0.400714,0.685488,0.357839
0.406191,0.686762,0.358807
0.411695,0.688047,0.35978
0.417225,0.689345,0.360758
0.422781,0.690659,0.361743
0.42836,0.691989,0.362736
0.433962,0.69334,0.363737
0.439586,0.694712,0.364748
0.445229,0.696108,0.36577
0.450892,0.697531,0.366804
0.456572,0.698982,0.367851
0.462268,0.700464,0.368911
0.46798,0.701979,0.369987
0.473706,0.703529,0.371079
0.479445,0.705117,0.372187
0.485195,0.706745,0.373314
0.490955,0.708414,0.374461
0.496724,0.710128,0.375627
0.502501,0.711888,0.376815
0.508285,0.713696,0.378026
0.514074,0.715556,0.379259
0.519867,0.717468,0.380517
0.525663,0.719436,0.381801
0.531461,0.721461,0.383112
0.537259,0.723546,0.38445
0.543056,0.725693,0.385816
0.548851,0.727904,0.387213
0.554642,0.730181,0.38864
0.560429,0.732527,0.390099
0.56621,0.734944,0.391591
0.571984,0.737435,0.393117
0.57775,0.74,0.394678
0.583507,0.742643,0.396275
0.589252,0.745366,0.397909
0.594986,0.74817,0.399581
0.600706,0.751059,0.401292
0.606412,0.754035,0.403044
0.612102,0.757099,0.404837
0.617776,0.760254,0.406672
0.623431,0.763502,0.408551
0.629066,0.766845,0.410474
0.634681,0.770286,0.412443
0.640274,0.773827,0.414458
0.645844,0.77747,0.416521
0.65139,0.781217,0.418633
0.65691,0.785071,0.420794
0.662403,0.789033,0.423006
0.667868,0.793106,0.42527
0.673304,0.797293,0.427586
0.678709,0.801594,0.429957
0.684083,0.806014,0.432383
0.689423,0.810553,0.434864
0.694729,0.815214,0.437403
0.7,0.82,0.44
