x,y,z
0,0.6,0.3
0.0188935,0.578394,0.287752
0.0463012,0.556424,0.278868
0.0807385,0.534727,0.272711
0.120721,0.51394,0.268644
0.164763,0.494697,0.266032
0.211381,0.477636,0.264237
0.25909,0.463393,0.262625
0.306405,0.452604,0.260558
0.351841,0.445905,0.2574
0.393914,0.443934,0.252516
0.431138,0.447325,0.245267
0.462031,0.456716,0.23502
0.485106,0.472742,0.221136
0.498878,0.496041,0.20298
0.5,0.5,0.2
0.5,0.5,0.2
0.5,0.5,0.2
0.5,0.5,0.2
0.5,0.5,0.2
0.5,0.5,0.2
0.5,0.5,0.2
0.5,0.5,0.2
0.5,0.5,0.2
0.5,0.5,0.2
0.5,0.5,0.2
0.5,0.5,0.2
0.5,0.5,0.2
0.5,0.5,0.2
0.5,0.5,0.2
0.5,0.5,0.2
0.5,0.5,0.2
0.5,0.5,0.2
0.5,0.5,0.2
0.5,0.5,0.2
0.5,0.5,0.2
0.5,0.5,0.2
0.5,0.5,0.2
0.5,0.5,0.2
0.5,0.5,0.2
0.5,0.5,0.2
0.5,0.5,0.2
0.5,0.5,0.2
0.5,0.5,0.2
0.5,0.5,0.2
0.5,0.5,0.2
0.5,0.5,0.2
0.5,0.5,0.2
0.5,0.5,0.2
0.5,0.5,0.2
0.5,0.5,0.2
0.5,0.5,0.2
0.5,0.5,0.2
0.5,0.5,0.2
0.5,0.5,0.2
0.5,0.5,0.2
0.5,0.5,0.2
0.5,0.5,0.2
0.5,0.5,0.2
0.5,0.5,0.2
0.5,0.5,0.2
0.5,0.5,0.2
0.5,0.5,0.2
0.5,0.5,0.2
0.5,0.5,0.2
0.5,0.5,0.2
0.5,0.5,0.2
0.5,0.5,0.2
0.5,0.5,0.2
0.5,0.5,0.2
0.5,0.5,0.2
0.5,0.5,0.2
0.5,0.5,0.2
0.5,0.5,0.2
0.5,0.5,0.2
0.5,0.5,0.2
0.5,0.5,0.2
0.5,0.5,0.2
0.5,0.5,0.2
0.5,0.5,0.2
0.5,0.5,0.2
0.5,0.5,0.2
0.5,0.5,0.2
0.5,0.5,0.2
0.5,0.5,0.2
0.5,0.5,0.2
0.5,0.5,0.2
0.5,0.5,0.2
0.5,0.5,0.2
0.5,0.5,0.2
0.5,0.5,0.2
0.5,0.5,0.2
0.5,0.5,0.2
0.5,0.5,0.2
0.5,0.5,0.2
0.5,0.5,0.2
0.5,0.5,0.2
0.5,0.5,0.2
0.5,0.5,0.2
0.5,0.5,0.2
