x,y,z
0.2,0.6,0.3
0.200009,0.600011,0.300006
0.200074,0.600084,0.30005
0.20025,0.600285,0.300169
0.200593,0.600673,0.3004
0.201161,0.601311,0.30078
0.202016,0.602256,0.301342
0.203221,0.603562,0.302121
0.204847,0.605274,0.303146
0.206972,0.607433,0.304443
0.209684,0.610066,0.306033
0.213083,0.613191,0.307931
0.217284,0.616809,0.310145
0.222417,0.620908,0.312676
0.22863,0.625458,0.315518
0.236093,0.630415,0.318657
0.244995,0.63572,0.322071
0.255544,0.641304,0.325733
0.267968,0.647092,0.329615
0.282514,0.653015,0.33369
0.299437,0.659019,0.337937
0.318999,0.665082,0.342352
0.341459,0.671237,0.346954
0.367056,0.677597,0.351801
0.396,0.684393,0.357005
0.428276,0.691969,0.362721
0.460145,0.699908,0.368514
0.489859,0.708094,0.374241
0.517268,0.716603,0.37995
0.542313,0.725414,0.385639
0.565,0.734432,0.391276
0.585389,0.743526,0.396805
0.603571,0.752541,0.402166
0.619663,0.761326,0.407294
0.633794,0.769735,0.412128
0.646102,0.777641,0.416618
0.656728,0.784942,0.420722
0.665812,0.791558,0.42441
0.67349,0.797439,0.427667
0.679896,0.802558,0.430487
0.685157,0.806915,0.432876
0.689396,0.81053,0.434852
0.692731,0.813441,0.436438
0.695276,0.815703,0.437669
0.697141,0.817385,0.438582
0.698436,0.818563,0.439221
0.699264,0.819323,0.439633
0.699732,0.819753,0.439866
0.699942,0.819947,0.439971
0.699998,0.819998,0.439999
0.7,0.82,0.44
0.7,0.82,0.44
0.7,0.82,0.44
0.7,0.82,0.44
0.7,0.82,0.44
0.7,0.82,0.44
0.7,0.82,0.44
0.7,0.82,0.44
0.7,0.82,0.44
0.7,0.82,0.44
0.7,0.82,0.44
0.7,0.82,0.44
0.7,0.82,0.44
0.7,0.82,0.44
0.7,0.82,0.44
0.7,0.82,0.44
0.7,0.82,0.44
0.7,0.82,0.44
0.7,0.82,0.44
0.7,0.82,0.44
0.7,0.82,0.44
0.7,0.82,0.44
0.7,0.82,0.44
0.7,0.82,0.44
0.7,0.82,0.44
0.7,0.82,0.44
0.7,0.82,0.44
0.7,0.82,0.44
0.7,0.82,0.44
0.7,0.82,0.44
0.7,0.82,0.44
0.7,0.82,0.44
0.7,0.82,0.44
0.7,0.82,0.44
0.7,0.82,0.44
0.7,0.82,0.44
0.7,0.82,0.44
0.7,0.82,0.44
0.7,0.82,0.44
0.7,0.82,0.44
0.7,0.82,0.44
0.7,0.82,0.44
0.7,0.82,0.44
0.7,0.82,0.44
0.7,0.82,0.44
0.7,0.82,0.44
0.7,0.82,0.44
0.7,0.82,0.44
0.7,0.82,0.44
0.7,0.82,0.44
