x,y,z
0,0,0
0.000945889,0.00247484,0.000640099
0.00402114,0.00996724,0.00283192
0.0099237,0.0226766,0.00737311
0.0197674,0.0409212,0.0155366
0.0350079,0.0651169,0.028986
0.0573388,0.0957476,0.0496571
0.0885587,0.133327,0.079605
0.130408,0.178353,0.120819
0.184375,0.23125,0.175
0.251477,0.292309,0.24331
0.332004,0.361613,0.326082
0.42524,0.438958,0.422497
0.529152,0.523761,0.530231
0.640049,0.61497,0.645065
0.752208,0.710948,0.76046
0.857478,0.809368,0.867101
0.944852,0.907083,0.952406
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
