x,y,z
0,0,0
4.12244e-06,4.12244e-06,4.12244e-06
3.29795e-05,3.29795e-05,3.29795e-05
0.000111306,0.000111306,0.000111306
0.000263836,0.000263836,0.000263836
0.000515305,0.000515305,0.000515305
0.000890447,0.000890447,0.000890447
0.001414,0.001414,0.001414
0.00211069,0.00211069,0.00211069
0.00300526,0.00300526,0.00300526
0.00412244,0.00412244,0.00412244
0.00548697,0.00548697,0.00548697
0.00712358,0.00712358,0.00712358
0.009057,0.009057,0.009057
0.011312,0.011312,0.011312
0.0139132,0.0139132,0.0139132
0.0168855,0.0168855,0.0168855
0.0202535,0.0202535,0.0202535
0.0240421,0.0240421,0.0240421
0.0282758,0.0282758,0.0282758
0.0329795,0.0329795,0.0329795
0.0381779,0.0381779,0.0381779
0.0438957,0.0438957,0.0438957
0.0501577,0.0501577,0.0501577
0.0569886,0.0569886,0.0569886
0.0644131,0.0644131,0.0644131
0.072456,0.072456,0.072456
0.081142,0.081142,0.081142
0.0904958,0.0904958,0.0904958
0.100542,0.100542,0.100542
0.111306,0.111306,0.111306
0.122812,0.122812,0.122812
0.135084,0.135084,0.135084
0.148148,0.148148,0.148148
0.162028,0.162028,0.162028
0.17675,0.17675,0.17675
0.192337,0.192337,0.192337
0.208814,0.208814,0.208814
0.226207,0.226207,0.226207
0.244539,0.244539,0.244539
0.263836,0.263836,0.263836
0.284123,0.284123,0.284123
0.305423,0.305423,0.305423
0.327763,0.327763,0.327763
0.351166,0.351166,0.351166
0.375657,0.375657,0.375657
0.401262,0.401262,0.401262
0.428004,0.428004,0.428004
0.455909,0.455909,0.455909
0.485001,0.485001,0.485001
0.514999,0.514999,0.514999
0.544091,0.544091,0.544091
0.571996,0.571996,0.571996
0.598738,0.598738,0.598738
0.624343,0.624343,0.624343
0.648834,0.648834,0.648834
0.672237,0.672237,0.672237
0.694577,0.694577,0.694577
0.715877,0.715877,0.715877
0.736164,0.736164,0.736164
0.755461,0.755461,0.755461
0.773793,0.773793,0.773793
0.791186,0.791186,0.791186
0.807663,0.807663,0.807663
0.82325,0.82325,0.82325
0.837972,0.837972,0.837972
0.851852,0.851852,0.851852
0.864916,0.864916,0.864916
0.877188,0.877188,0.877188
0.888694,0.888694,0.888694
0.899458,0.899458,0.899458
0.909504,0.909504,0.909504
0.918858,0.918858,0.918858
0.927544,0.927544,0.927544
0.935587,0.935587,0.935587
0.943011,0.943011,0.943011
0.949842,0.949842,0.949842
0.956104,0.956104,0.956104
0.961822,0.961822,0.961822
0.96702,0.96702,0.96702
0.971724,0.971724,0.971724
0.975958,0.975958,0.975958
0.979746,0.979746,0.979746
0.983114,0.983114,0.983114
0.986087,0.986087,0.986087
0.988688,0.988688,0.988688
0.990943,0.990943,0.990943
0.992876,0.992876,0.992876
0.994513,0.994513,0.994513
0.995878,0.995878,0.995878
0.996995,0.996995,0.996995
0.997889,0.997889,0.997889
0.998586,0.998586,0.998586
0.99911,0.99911,0.99911
0.999485,0.999485,0.999485
0.999736,0.999736,0.999736
0.999889,0.999889,0.999889
0.999967,0.999967,0.999967
0.999996,0.999996,0.999996
1,1,1
