x,y,z
-0.5,0.6,0.3
-0.497454,0.599151,0.299151
-0.489815,0.596605,0.296605
-0.477083,0.592361,0.292361
-0.459259,0.58642,0.28642
-0.436343,0.578781,0.278781
-0.408333,0.569444,0.269444
-0.375231,0.558411,0.258411
-0.337037,0.545679,0.245679
-0.29375,0.53125,0.23125
-0.24537,0.515123,0.215123
-0.2,0.5,0.2
-0.2,0.5,0.2
-0.2,0.5,0.2
-0.2,0.5,0.2
-0.2,0.5,0.2
-0.2,0.5,0.2
-0.2,0.5,0.2
-0.2,0.5,0.2
-0.2,0.5,0.2
-0.2,0.5,0.2
-0.2,0.5,0.2
-0.2,0.5,0.2
-0.2,0.5,0.2
-0.2,0.5,0.2
-0.2,0.5,0.2
-0.2,0.5,0.2
-0.2,0.5,0.2
-0.2,0.5,0.2
-0.2,0.5,0.2
-0.2,0.5,0.2
-0.2,0.5,0.2
-0.2,0.5,0.2
-0.2,0.5,0.2
-0.2,0.5,0.2
-0.2,0.5,0.2
-0.2,0.5,0.2
-0.2,0.5,0.2
-0.2,0.5,0.2
-0.2,0.5,0.2
-0.2,0.5,0.2
-0.2,0.5,0.2
-0.2,0.5,0.2
-0.2,0.5,0.2
-0.2,0.5,0.2
-0.2,0.5,0.2
-0.2,0.5,0.2
-0.2,0.5,0.2
-0.2,0.5,0.2
-0.2,0.5,0.2
-0.2,0.5,0.2
-0.2,0.5,0.2
-0.2,0.5,0.2
-0.2,0.5,0.2
-0.2,0.5,0.2
-0.2,0.5,0.2
-0.2,0.5,0.2
-0.2,0.5,0.2
-0.2,0.5,0.2
-0.2,0.5,0.2
-0.2,0.5,0.2
-0.2,0.5,0.2
-0.2,0.5,0.2
-0.2,0.5,0.2
-0.2,0.5,0.2
-0.2,0.5,0.2
-0.2,0.5,0.2
-0.2,0.5,0.2
-0.2,0.5,0.2
-0.2,0.5,0.2
-0.2,0.5,0.2
-0.2,0.5,0.2
-0.2,0.5,0.2
-0.2,0.5,0.2
-0.2,0.5,0.2
-0.2,0.5,0.2
-0.2,0.5,0.2
-0.2,0.5,0.2
-0.2,0.5,0.2
-0.2,0.5,0.2
-0.2,0.5,0.2
-0.2,0.5,0.2
-0.2,0.5,0.2
-0.2,0.5,0.2
-0.2,0.5,0.2
-0.2,0.5,0.2
-0.2,0.5,0.2
-0.2,0.5,0.2
-0.2,0.5,0.2
-0.2,0.5,0.2
-0.2,0.5,0.2
-0.2,0.5,0.2
-0.2,0.5,0.2
-0.2,0.5,0.2
-0.2,0.5,0.2
-0.2,0.5,0.2
-0.2,0.5,0.2
-0.2,0.5,0.2
-0.2,0.5,0.2
-0.2,0.5,0.2
