x,y,z
0.2,0.6,0.3
0.200003,0.599991,0.299996
0.200021,0.599926,0.299971
0.200071,0.599751,0.299902
0.200169,0.599409,0.299768
0.20033,0.598846,0.299547
0.20057,0.598005,0.299216
0.200905,0.596833,0.298756
0.201351,0.595272,0.298143
0.201923,0.593268,0.297355
0.202638,0.590766,0.296372
0.203512,0.587709,0.295171
0.204559,0.584043,0.293731
0.205796,0.579712,0.29203
0.20724,0.574661,0.290045
0.208904,0.568834,0.287756
0.210807,0.562176,0.285141
0.212962,0.554632,0.282177
0.215387,0.546146,0.278843
0.218097,0.536662,0.275117
0.221107,0.526126,0.270978
0.224434,0.514481,0.266403
0.228093,0.501674,0.261372
0.232101,0.487647,0.255861
0.236473,0.472345,0.24985
0.2412,0.4558,0.24335
0.24576,0.439841,0.23708
0.249947,0.425184,0.231322
0.253779,0.411774,0.226054
0.25727,0.399554,0.221253
0.260437,0.388471,0.216899
0.263295,0.378468,0.21297
0.26586,0.36949,0.209442
0.268148,0.361481,0.206296
0.270175,0.354387,0.203509
0.271957,0.348152,0.20106
0.273509,0.34272,0.198926
0.274847,0.338036,0.197085
0.275987,0.334044,0.195517
0.276946,0.33069,0.1942
0.277738,0.327917,0.19311
0.27838,0.325671,0.192228
0.278887,0.323896,0.19153
0.279275,0.322536,0.190996
0.279561,0.321536,0.190604
0.27976,0.320841,0.190331
0.279887,0.320396,0.190156
0.279959,0.320144,0.190057
0.279991,0.320031,0.190012
0.28,0.320001,0.19
0.28,0.32,0.19
0.28,0.32,0.19
0.28,0.32,0.19
0.28,0.32,0.19
0.28,0.32,0.19
0.28,0.32,0.19
0.28,0.32,0.19
0.28,0.32,0.19
0.28,0.32,0.19
0.28,0.32,0.19
0.28,0.32,0.19
0.28,0.32,0.19
0.28,0.32,0.19
0.28,0.32,0.19
0.28,0.32,0.19
0.28,0.32,0.19
0.28,0.32,0.19
0.28,0.32,0.19
0.28,0.32,0.19
0.28,0.32,0.19
0.28,0.32,0.19
0.28,0.32,0.19
0.28,0.32,0.19
0.28,0.32,0.19
0.28,0.32,0.19
0.28,0.32,0.19
0.28,0.32,0.19
0.28,0.32,0.19
0.28,0.32,0.19
0.28,0.32,0.19
0.28,0.32,0.19
0.28,0.32,0.19
0.28,0.32,0.19
0.28,0.32,0.19
0.28,0.32,0.19
0.28,0.32,0.19
0.28,0.32,0.19
0.28,0.32,0.19
0.28,0.32,0.19
0.28,0.32,0.19
0.28,0.32,0.19
0.28,0.32,0.19
0.28,0.32,0.19
0.28,0.32,0.19
0.28,0.32,0.19
0.28,0.32,0.19
0.28,0.32,0.19
0.28,0.32,0.19
0.28,0.32,0.19
0.28,0.32,0.19
