x,y,z
0.2,3.5,0.3
0.200617,3.50185,0.299383
0.202469,3.50741,0.297531
0.205556,3.51667,0.294444
0.209877,3.52963,0.290123
0.215432,3.5463,0.284568
0.222222,3.56667,0.277778
0.230247,3.59074,0.269753
0.239506,3.61852,0.260494
0.25,3.65,0.25
0.261728,3.68519,0.238272
0.274691,3.72407,0.225309
0.288889,3.76667,0.211111
0.308642,3.79136,0.204321
0.341975,3.75802,0.220988
0.377778,3.72222,0.238889
0.416049,3.68395,0.258025
0.45679,3.64321,0.278395
0.5,3.6,0.3
0.545679,3.53148,0.322839
0.593827,3.45926,0.346914
0.644444,3.38333,0.372222
0.697531,3.3037,0.398765
0.885803,3.19383,0.532716
1.08889,3.07778,0.677778
1.30062,2.95679,0.829012
1.46914,2.84815,1.07284
1.6,2.75,1.4
1.7358,2.64815,1.73951
1.81914,2.46605,2.24444
1.85556,2.21111,2.9
1.89321,1.94753,3.57778
2.12469,1.29012,3.6679
2.40556,0.527777,3.62778
2.6,0,3.6
2.6,0,3.6
2.6,0,3.6
2.6,0,3.6
2.6,0,3.6
2.6,0,3.6
2.6,0,3.6
2.6,0,3.6
2.52222,0.211111,3.61111
2.42284,0.480864,3.62531
2.3321,0.72716,3.63827
2.25,0.95,3.65
2.17654,1.14938,3.66049
2.11173,1.32531,3.66975
2.05556,1.47778,3.67778
2.00802,1.60679,3.68457
1.96914,1.71234,3.69012
1.93889,1.79444,3.69444
1.91728,1.85309,3.69753
1.90432,1.88827,3.69938
1.9,1.9,3.7
1.90432,1.88827,3.69938
1.91728,1.85309,3.69753
1.93889,1.79444,3.69444
1.96914,1.71235,3.69012
2.00802,1.60679,3.68457
2.05556,1.47778,3.67778
2.11173,1.32531,3.66975
2.17654,1.14938,3.66049
2.25,0.950001,3.65
2.3321,0.727161,3.63827
2.42284,0.480864,3.62531
2.52222,0.211111,3.61111
2.6,0,3.6
2.6,0,3.6
2.6,0,3.6
2.6,0,3.6
2.6,0,3.6
2.6,0,3.6
2.6,0,3.6
2.6,0,3.6
2.6,0,3.6
2.6,0,3.6
2.6,0,3.6
2.6,0,3.6
2.6,0,3.6
2.6,0,3.6
2.6,0,3.6
2.6,0,3.6
2.6,0,3.6
2.6,0,3.6
2.6,0,3.6
2.6,0,3.6
2.6,0,3.6
2.6,0,3.6
2.6,0,3.6
2.6,0,3.6
2.6,0,3.6
2.6,0,3.6
2.6,0,3.6
2.6,0,3.6
2.6,0,3.6
2.6,0,3.6
2.6,0,3.6
2.6,0,3.6
2.6,0,3.6
